id,index,label,semantic_source,visual_family,drawing_brief,replacement_state,art_status,runtime_bitmap_symbol,runtime_encoding,acceptance_rule,official_coverage,replacement_contract
SOU-049,49,TRAVEL PASS,shop_items,shop item memory,Draw `TRAVEL PASS` as a 16x16 shop item memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[49],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-050,50,TICKET,shop_items,shop item memory,Draw `TICKET` as a 16x16 shop item memory; key cue: ticket rectangle cue.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[50],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-051,51,CHARM,shop_items,shop item memory,Draw `CHARM` as a 16x16 shop item memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[51],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-052,52,BLOCK SET,shop_items,shop item memory,Draw `BLOCK SET` as a 16x16 shop item memory; key cue: stacked block cue.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[52],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-053,53,ROPE SKIP,shop_items,shop item memory,Draw `ROPE SKIP` as a 16x16 shop item memory; key cue: looped rope cue.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[53],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-054,54,TRUMPET,shop_items,shop item memory,Draw `TRUMPET` as a 16x16 shop item memory; key cue: trumpet/horn cue.,accepted_reference,official_source_override,kSouvenirMemoryBitmaps[54],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official-source C++ 16x16 override,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-055,55,BALL PLAY,shop_items,shop item memory,Draw `BALL PLAY` as a 16x16 shop item memory; key cue: round ball cue.,accepted_reference,official_source_override,kSouvenirMemoryBitmaps[55],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official-source C++ 16x16 override,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-056,56,SHOPPER,shop_items,shop item memory,Draw `SHOPPER` as a 16x16 shop item memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[56],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-057,57,COLLECTOR,shop_items,shop item memory,Draw `COLLECTOR` as a 16x16 shop item memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[57],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-058,58,FAMILY TREE,connect,friend/connection memory,Draw `FAMILY TREE` as a 16x16 friend/connection memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[58],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-059,59,OLD FRIEND,connect,friend/connection memory,Draw `OLD FRIEND` as a 16x16 friend/connection memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[59],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-060,60,LEGACY,connect,friend/connection memory,Draw `LEGACY` as a 16x16 friend/connection memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[60],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-061,61,MEMORY DAY,games,game prize or medal memory,Draw `MEMORY DAY` as a 16x16 game prize or medal memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[61],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-062,62,NEW GEN,connect,friend/connection memory,Draw `NEW GEN` as a 16x16 friend/connection memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[62],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-063,63,ALBUM,connect,friend/connection memory,Draw `ALBUM` as a 16x16 friend/connection memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[63],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
